Query	KEGG	m/z similarity	l2fc	p
13-HPODE	C04717	0.98	0.116803872829987	0.866365144591788
2-Deoxyribose 5-phosphate	C00673	0.99	-0.113733696936736	0.859617057499288
2-Methylglutaric acid	C02930	1.00	-0.529183338361669	0.136929157577787
2-Oxoglutaric acid	C00026	0.96	0.472561481931806	0.643218744026106
3,4-Dihydrospheroidene	C15895	0.89	-0.511993961155404	0.147304651699165
3',5'-Cyclic AMP	C00575	1	2.94488268070544	0.0421202121269822
4-Chlorophenol	C02124	0.98	0.482166212787057	0.411598972491618
4-Methyl-5-thiazoleethanol	C04294	0.97	0.115050704903471	0.533251547946125
5-Hydroxyindole-3-acetic acid	C05635	0.99	-0.193025660485611	0.833919293207361
5-Hydroxytryptophan	C00643	0.95	-0.896991572821316	0.496000412490813
7-Methylthioheptyl glucosinolate	C17252	1.00	-0.806514336409145	0.442655920719663
Adenine	C00147	0.99	-0.616093844181143	0.250942231214341
Adenosine	C00212	0.97	1.77116033631598	0.23509817064409
Aesculetin	C09263	0.98	1.15810131353167	0.235652021586108
Ajmalicine	C09024	1	0.678468106575283	0.400364975011646
all-trans-Retinoic acid	C00777	0.97	0.501926817823524	0.532125130400665
Anhydrorhodovibrin	C15877	0.96	-0.118060875619283	0.661379891396884
Antheraxanthin	C08579	0.95	0.538444499546113	0.281244887221763
Apigenin	C01477	1	0.488457296228491	0.0853368969503284
Asparagine	C00152	0.98	1.174483569802	0.0827598333416693
Aspartate	C00049	1.00	-0.195837193661106	0.839691954071921
Aspartic acid	C00049	1	0.405002242101419	0.474537839045022
Astaxanthin	C08580	0.73	0.664038132267394	0.12598190124487
Atrazine-desethyl	C06559	0.95	1.56217874089501	0.171868258696563
Berberine	C00757	1	-0.483534767829033	0.693760377887191
beta-Sitosterol	C01753	0.87	-0.215465608744769	0.698497768748789
Biotin	C00120	1	0.69223242423252	0.183805700176853
Brassicasterol	C08813	1	-0.566391916580198	0.168619251729809
Calciferol	C05441	0.97	-0.0453155836797225	0.951851200792253
Chlorogenic Acid	C00852	0.99	-0.334201180454703	0.45676510959799
cis-Aconitic acid	C00417	0.96	0.277782528813772	0.759029353254825
Cis-Zeatin	C15545	1	-0.470808618201652	0.590578442810017
Colchicine	C07592	0.89	1.20039311244227	0.200096567424451
Coumarin	C05851	0.97	0.241922284457436	0.499339309606727
Creatine	C00300	1	-0.592544057636396	0.621424028902806
Cyanidin	C05905	1	1.05152917035099	0.0512541470044286
Cysteine	C00097	1	2.08825005623353	0.145015612053236
Cysteinylglycine	C01419	1	0.476029346832829	0.295643223589061
Cytidine	C00475	1.00	2.96201198892172	0.169905948650919
Cytidine 5'-diphosphocholine	C00307	1	-0.321618712227238	0.494375253503542
D-(-)-Quinic acid	C00296	1.00	-0.34002353737961	0.452947101075738
D-(+)-Pantothenic acid	C00864	0.92	0.809024908510164	0.107727735074679
D-Ala-D-ala	C00993	0.99	0.489004020903723	0.000911223333460817
D-Erythrose-4-phosphate	C00279	0.88	-0.572886499743896	0.338529430392452
D-Glucose 1-phosphate	C00103	0.97	0.641922233915572	0.588761017503068
D-Sorbitol 6-phosphate	C01096	0.99	0.968498107700818	0.420025069355857
Daidzin	C10216	0.91	-0.803105970922785	0.0111862692488717
Delphinidin	C05908	0.99	0.185547700946918	0.850410914581535
Dihydrotestosterone	C03917	0.61	0.30502959117682	0.623009933741535
Dihydrozeatin riboside	C16447	0.64	1.97451685587758	0.361129729685679
Dopamine	C03758	0.66	0.254193251550598	0.692092397094465
Doxorubicin	C01661	0.94	0.354048057735086	0.316905900162804
Emetine	C09421	1	0.697130859973949	0.109959986991641
Erythromycin	C01912	0.99	-0.257964843791922	0.626844589259894
Estriol	C05141	0.75	0.667572569814818	0.250654083182238
Formononetin	C00858	1	1.22445020241541	0.0869420091887544
gamma-Tocotrienol	C14155	0.98	0.324796351845368	0.437755557754094
Gibberellin A1	C00859	1.00	0.0190768925070729	0.795877378068363
Glutamic acid	C00025	0.97	0.865112423960406	0.0197961691546476
Glutamine	C00064	0.62	0.535925287315952	0.287237224261013
Glycocyamine	C00581	1.00	-0.0418181869193507	0.967839855810653
Guanine	C00242	0.94	0.834459434565223	0.384480640764018
Guanosine	C00387	0.99	2.45442926162668	0.119355231145281
Hydrocortisone	C00735	0.98	0.386475844862151	0.040465163105263
Isopentenyladenine	C04083	0.98	-3.62363089852661	0.396471323136163
L-(+)-Rhamnose	C00507	0.98	-0.512685818365465	0.292443038159626
L-2-Aminoadipic acid	C00956	1	-0.00995186017156127	0.986562775798779
L-5-Oxoproline	C01879	0.83	-0.396267004213224	0.387791460996135
L-Asparagine	C00152	1.00	1.09693997617904	0.362042481307177
