Well	Plate_ID	Isolate	Comments	Group	Replicate	Control
A01	plate_5	BY4741	WT_Pre-shift	1	3	0
A02	plate_5	YGR067C_ko	YGR067C_Post-shift	4	3	0
A03	plate_5	BY4741	WT_Pre-shift	1	3	0
A04	plate_5	YGR067C_ko	YGR067C_Post-shift	4	3	0
A05	plate_5	BY4741	WT_Pre-shift	1	3	0
A06	plate_5	YGR067C_ko	YGR067C_Post-shift	4	3	0
A07	plate_5	BY4741	WT_Pre-shift	1	3	0
A08	plate_5	YGR067C_ko	YGR067C_Post-shift	4	3	0
A09	plate_5	BY4741	WT_Pre-shift	1	3	0
A10	plate_5	YGR067C_ko	YGR067C_Post-shift	4	3	0
A11	plate_5	BY4741	WT_Pre-shift	1	3	0
A12	plate_5	YGR067C_ko	YGR067C_Post-shift	4	3	0
A13	plate_5	BY4741	WT_Pre-shift	1	3	0
A14	plate_5	YGR067C_ko	YGR067C_Post-shift	4	3	0
A15	plate_5	BY4741	WT_Pre-shift	1	3	0
A16	plate_5	YGR067C_ko	YGR067C_Post-shift	4	3	0
A17	plate_5	BY4741	WT_Pre-shift	1	3	0
A18	plate_5	YGR067C_ko	YGR067C_Post-shift	4	3	0
A19	plate_5	BY4741	WT_Pre-shift	1	3	0
A20	plate_5	YGR067C_ko	YGR067C_Post-shift	4	3	0
A21	plate_5	BY4741	WT_Pre-shift	1	3	0
A22	plate_5	YGR067C_ko	YGR067C_Post-shift	4	3	0
A23	plate_5	BY4741	WT_Pre-shift	1	3	0
A24	plate_5	YGR067C_ko	YGR067C_Post-shift	4	3	0
B01	plate_5	BY4741	WT_Post-shift	3	3	0
B02	plate_5	YGR067C_ko	YGR067C_Pre-shift	2	3	0
B03	plate_5	BY4741	WT_Post-shift	3	3	0
B04	plate_5	YGR067C_ko	YGR067C_Pre-shift	2	3	0
B05	plate_5	BY4741	WT_Post-shift	3	3	0
B06	plate_5	YGR067C_ko	YGR067C_Pre-shift	2	3	0
B07	plate_5	BY4741	WT_Post-shift	3	3	0
B08	plate_5	YGR067C_ko	YGR067C_Pre-shift	2	3	0
B09	plate_5	BY4741	WT_Post-shift	3	3	0
B10	plate_5	YGR067C_ko	YGR067C_Pre-shift	2	3	0
B11	plate_5	BY4741	WT_Post-shift	3	3	0
B12	plate_5	YGR067C_ko	YGR067C_Pre-shift	2	3	0
B13	plate_5	BY4741	WT_Post-shift	3	3	0
B14	plate_5	YGR067C_ko	YGR067C_Pre-shift	2	3	0
B15	plate_5	BY4741	WT_Post-shift	3	3	0
B16	plate_5	YGR067C_ko	YGR067C_Pre-shift	2	3	0
B17	plate_5	BY4741	WT_Post-shift	3	3	0
B18	plate_5	YGR067C_ko	YGR067C_Pre-shift	2	3	0
B19	plate_5	BY4741	WT_Post-shift	3	3	0
B20	plate_5	YGR067C_ko	YGR067C_Pre-shift	2	3	0
B21	plate_5	BY4741	WT_Post-shift	3	3	0
B22	plate_5	YGR067C_ko	YGR067C_Pre-shift	2	3	0
B23	plate_5	BY4741	WT_Post-shift	3	3	0
B24	plate_5	YGR067C_ko	YGR067C_Pre-shift	2	3	0
C01	plate_5	BY4741	WT_Pre-shift	1	3	0
C02	plate_5	YGR067C_ko	YGR067C_Post-shift	4	3	0
C03	plate_5	BY4741	WT_Pre-shift	1	3	0
C04	plate_5	YGR067C_ko	YGR067C_Post-shift	4	3	0
C05	plate_5	BY4741	WT_Pre-shift	1	3	0
C06	plate_5	YGR067C_ko	YGR067C_Post-shift	4	3	0
C07	plate_5	BY4741	WT_Pre-shift	1	3	0
C08	plate_5	YGR067C_ko	YGR067C_Post-shift	4	3	0
C09	plate_5	BY4741	WT_Pre-shift	1	3	0
C10	plate_5	YGR067C_ko	YGR067C_Post-shift	4	3	0
C11	plate_5	BY4741	WT_Pre-shift	1	3	0
C12	plate_5	YGR067C_ko	YGR067C_Post-shift	4	3	0
C13	plate_5	BY4741	WT_Pre-shift	1	3	0
C14	plate_5	YGR067C_ko	YGR067C_Post-shift	4	3	0
