UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
48	0
0	0
0	14
8	0
0	0
0	0
2	0
132	31
12531	12
3010	6
4994	4
0	0
627	10
317	0
0	0
1903	2
382	2
2281	4
2184	0
1052	0
364	0
415	0
0	0
214	0
273	0
0	0
339	0
2688	8
802	0
1	0
1681	6
820	0
1080	0
1233	0
32112	18
34	0
0	0
24	0
1463	18
10939	67
0	0
33	0
1368	4
89	0
497	2
0	0
516	0
252	0
813	2
214	0
113	0
81	7
743	9
0	0
1418	6
121	2
1103	4
353	0
420	0
706	6
5	0
1177	0
0	0
957	6
0	0
1	0
1334	4
310	0
353	0
1005	0
826	0
1529	8
190	2
245	0
368	0
141	0
0	0
6610	3281
3	0
7624	2
3	0
674	6
720	6
621	2
493	2
209	0
222	0
38	0
211	12030
0	1289
0	0
1290	2
5221	2
60	0
347	0
4	0
2	0
69	0
0	0
0	0
834	4
130	0
15	0
6	0
6	176
9	23
6856	6
0	0
1172	18
7	0
72	20
2	0
0	2
0	0
0	0
0	0
0	29
0	14
0	0
0	0
26	105
0	3
2	1
361	1875
0	6
0	163
2	706
1	0
0	0
0	0
0	0
0	0
425	0
207	0
1797	6
584	0
683	2
410	0
1899	8
0	0
0	183
169	3288
0	0
1	0
17212	30
415	0
97	0
10	0
332	2
10	0
1036	0
3898	2
142	0
3083	7
246	0
259	2
777	2
2045	9
638	8
509	0
648	2
10	52
219	54
370	2
139	0
1415	4
417	0
2	0
4171	20
4908	0
83	0
0	0
0	0
2263	4084
0	0
145	0
6	0
0	0
705	42
0	40
479	2
637	0
2010	6
0	0
3235	10
154	0
2	0
748	4
292	0
134	0
191	0
1536	0
283	0
1279	5
470	0
1306	4
0	0
441	4
1411	8
725	0
216	0
65	2
2207	0
326	0
5724	8
0	0
870	0
1455	2
1023	2
238	0
5	0
1954	0
0	0
534	0
599	0
979	8
120	0
240	0
2099	0
519	2
44	0
7582	10
102	0
86	0
286	4
4900	56
139	2
86	0
1311	2
285	0
1361	0
279	0
550	2
290	0
138	0
3026	4
666	2
8366	6
0	0
0	0
627	0
47	0
2	0
894	2
91	0
115	0
0	0
418	0
2068	14
477	0
2	0
546	2
1	346
528	7623
0	0
2686	4
266	2
472	0
578	4
1393	0
474	4
308	0
943	22
740	0
1405	4
266	4
462	3
945	3
2686	8
3160	0
38	0
0	567
50	6561
57	0
0	0
432	4
1090	9
735	0
1511	8
123	0
180	0
339	0
1099	6
157	0
657	0
189	0
2668	2
951	4
2	0
433	2
773	0
487	0
9242	5074
3	0
283	2
1031	6
863	0
13	0
910	8
1521	0
215	0
81	0
5157	6
6	0
380	0
187	0
1317	0
433	0
0	0
273	0
751	2
254	0
