UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
73	0
0	0
0	13
9	0
0	0
0	0
2	0
245	42
8741	22
3037	10
5630	4
1	0
287	4
420	0
1	0
2068	8
510	2
2651	4
3411	10
1620	2
763	0
515	0
0	0
244	0
224	2
0	0
436	0
1201	4
921	0
3	0
1979	2
1114	2
1456	2
2017	2
32516	24
62	0
0	0
49	0
989	16
7727	46
0	0
48	0
2157	2
79	0
536	0
1	0
625	0
513	2
1101	0
570	2
201	0
109	23
940	29
0	0
620	2
136	0
913	4
365	0
488	6
914	0
7	0
1055	4
2	0
1839	2
0	0
2	0
2198	4
497	0
509	0
1041	0
497	0
1329	0
263	0
252	0
827	2
287	0
0	0
17356	9007
18	0
6616	4
1	0
894	0
1074	6
577	2
633	0
214	0
277	0
49	0
267	18615
1	1105
0	0
842	2
1756	4
83	2
463	4
5	0
1	0
71	0
0	0
0	0
2635	6
154	0
10	0
12	0
13	546
38	38
7609	8
0	0
1445	19
2	0
149	38
0	0
0	3
0	0
0	4
0	0
1	32
1	33
0	1
0	0
72	190
0	3
1	6
410	4229
0	13
0	336
1	1383
1	0
0	0
0	0
0	0
0	0
502	0
611	0
1920	2
703	0
724	2
464	0
1538	2
1	0
0	179
233	4659
0	0
7	0
21450	24
204	0
101	2
14	0
448	0
10	0
1679	0
3425	4
238	0
3881	0
296	0
380	2
1483	10
1583	4
840	2
776	2
585	4
3	51
195	51
139	0
267	0
1558	12
595	2
4	0
2970	4
5318	2
146	0
0	0
0	0
1721	3324
0	0
94	0
4	0
0	0
414	32
0	30
431	0
759	2
1978	2
4	0
6217	8
165	0
2	0
517	2
339	0
294	0
195	0
2474	0
394	0
1317	10
723	2
750	2
10	0
592	4
1663	0
1154	2
423	2
121	0
3522	2
357	0
6632	4
1	0
438	0
2372	0
2122	10
414	4
16	0
1015	4
0	0
649	0
871	0
986	0
167	0
349	0
1921	2
583	4
49	0
8050	6
253	0
125	0
195	2
3403	40
163	0
112	0
762	0
206	0
2102	4
203	0
542	4
458	2
117	0
6276	10
485	0
7081	4
0	0
0	0
665	0
36	0
1	0
1063	2
79	0
118	0
0	0
481	0
2763	12
528	0
3	0
687	0
4	357
880	11675
0	0
1617	2
174	3
362	0
769	4
1285	4
417	0
458	0
1794	50
1921	0
1629	0
240	4
656	8
926	7
2123	3
4572	4
27	0
0	737
58	10669
91	0
0	0
580	8
1156	0
1186	0
1299	2
36	0
28	0
243	0
1405	4
320	0
682	0
381	4
2863	2
1848	15
0	0
276	0
662	0
373	4
5682	3981
3	0
527	0
558	0
1084	2
1	0
281	0
2846	4
411	0
186	0
6074	2
4	0
510	0
216	0
1379	10
562	4
0	0
386	2
