UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
7	0
0	0
0	6
4	0
0	0
1	0
0	0
126	37
1472	2
4770	6
13428	15
0	0
274	6
314	0
0	0
2702	2
810	0
10666	28
1764	6
1211	0
643	2
396	0
1	0
352	2
242	0
1	0
311	0
1811	0
1340	2
0	0
1903	4
820	0
1263	0
1671	2
43475	46
45	0
0	0
36	0
597	10
10804	72
0	0
99	2
3521	0
128	0
805	0
0	0
1263	6
622	0
1200	8
601	2
267	0
133	24
1032	33
2	0
345	0
204	0
2591	0
577	0
892	2
931	10
1	0
699	4
4	0
3305	18
0	0
0	0
3089	6
497	0
594	0
1787	4
723	0
1369	2
381	0
349	0
699	2
577	8
0	0
23501	10525
11	0
4556	2
0	0
1340	8
1702	4
710	0
1090	4
364	0
487	0
61	0
619	29897
1	2684
0	0
2092	2
3625	8
187	0
901	4
0	0
6	0
102	0
0	0
0	0
1282	2
98	0
9	0
8	0
9	253
55	38
17853	24
0	0
2605	34
6	0
196	40
0	0
0	7
0	0
0	1
0	0
0	24
2	43
0	0
0	0
85	220
5	10
0	13
564	2921
0	6
0	215
0	830
3	0
0	1
0	0
0	0
0	1
385	0
610	2
2525	2
522	0
537	2
528	0
1791	2
0	0
0	322
255	8026
0	0
3	0
10465	10
210	0
143	0
3	0
1012	4
1	0
453	2
5496	4
269	0
4759	6
461	0
517	0
1257	10
1483	8
2262	6
834	2
945	4
14	170
441	170
403	0
504	0
2127	8
419	0
1	0
3257	18
1309	0
179	0
0	0
0	0
3384	5937
0	0
44	0
0	0
0	0
235	25
0	23
638	0
813	4
900	6
4	0
7755	4
345	0
3	0
1405	6
530	0
208	0
182	0
2930	2
445	0
2071	2
509	2
290	0
2	0
616	4
1390	4
1325	0
208	0
54	2
6245	8
662	0
3872	2
4	0
171	0
347	2
1555	10
792	4
16	0
503	2
0	0
676	4
1112	0
630	6
115	0
535	2
1377	4
687	0
136	0
2768	2
373	0
124	0
180	0
6954	84
260	0
131	2
696	0
332	0
2073	6
164	0
434	4
440	0
124	0
3882	6
966	2
5184	6
0	0
0	0
355	0
48	0
0	0
1262	2
204	0
228	2
0	0
348	0
3621	25
644	0
2	0
551	2
4	547
1376	17263
0	0
2116	2
1650	11
1540	0
822	6
3688	8
396	4
1206	0
318	14
400	0
1109	0
401	6
529	2
2454	8
3925	13
4829	2
70	0
0	1011
98	14556
77	0
0	0
1772	4
1710	6
1729	0
1623	0
38	0
24	0
311	0
369	0
182	0
1191	6
489	2
2457	8
2210	8
0	0
296	2
859	0
615	12
14024	6688
13	0
599	5
233	0
1704	10
0	0
670	4
1836	4
806	0
493	0
2208	4
4	0
732	0
176	0
953	4
642	0
