UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
19	0
0	0
0	8
10	0
1	0
1	0
0	0
123	43
1451	0
6124	6
12270	20
1	0
92	0
269	0
0	0
2240	8
531	2
16465	21
1642	8
953	0
520	0
429	0
1	0
202	10
137	0
0	0
230	0
1269	2
1249	4
0	0
1459	4
611	2
854	2
1423	0
32143	26
132	0
0	0
23	0
322	4
4067	14
0	0
102	0
3285	4
76	0
668	0
2	0
1178	6
429	0
617	4
542	2
186	0
71	9
733	11
1	0
104	0
165	0
2194	2
535	2
744	6
806	12
3	0
345	0
0	0
3324	10
0	0
6	0
2941	4
390	2
507	0
1583	0
300	0
712	0
252	0
209	0
720	0
403	4
0	0
23149	11909
36	0
2610	4
0	0
976	2
1679	0
508	0
757	0
261	0
444	2
34	0
411	22778
0	2185
0	0
1982	2
2297	2
175	2
710	4
1	0
8	0
98	0
0	0
0	0
1130	4
97	0
12	0
7	0
11	199
62	33
27999	27
0	0
2611	22
0	0
165	32
0	0
0	11
0	0
0	4
0	0
0	14
1	31
0	0
1	0
98	212
4	10
3	11
407	3480
0	16
0	374
1	1390
1	0
0	0
0	0
0	0
0	0
230	4
405	2
2376	4
388	0
495	0
508	0
1417	2
0	0
0	270
138	5736
0	0
6	0
9969	14
186	0
113	0
1	0
737	4
3	0
282	0
2960	2
220	0
3151	4
392	0
386	4
842	6
656	7
1820	4
652	8
736	2
12	135
401	135
101	0
474	0
1257	6
487	0
11	0
1818	6
1124	2
151	0
0	0
0	0
2046	3562
0	0
28	0
1	0
0	0
188	18
0	16
388	0
612	0
962	0
1	0
6462	6
265	2
6	0
1179	8
410	0
162	0
146	0
2539	0
251	0
1941	4
335	4
125	0
7	0
405	2
923	8
1073	2
306	2
62	4
5508	14
585	0
4105	6
1	0
103	0
222	4
1224	4
621	2
10	0
139	0
0	0
530	0
1056	0
371	2
69	0
357	0
1445	2
555	2
55	0
3157	3
253	0
58	0
33	2
3950	46
204	2
111	0
240	0
229	0
1807	4
117	0
344	2
340	0
55	0
3197	0
851	0
9065	8
0	0
0	0
255	0
62	0
2	0
1139	8
140	0
145	0
0	0
236	0
3582	16
503	0
1	0
393	0
2	504
987	12488
0	0
771	2
1810	2
1574	0
573	14
3923	0
233	0
1139	4
195	8
343	0
1049	2
246	0
348	14
3335	10
3998	12
3553	2
43	0
0	685
48	10091
65	0
0	0
1245	16
1516	0
1284	2
1086	6
56	0
6	0
352	0
143	0
137	0
1102	4
412	2
1827	0
2334	15
1	0
220	2
439	0
399	2
10504	6275
13	0
679	2
87	0
1526	10
0	0
490	6
1711	6
683	0
448	0
2006	0
2	0
561	2
115	0
775	4
508	0
0	0
279	2
1391	2
