UniqueCount	AmbigCount
0	0
0	0
1	0
0	0
15	0
0	0
0	6
13	0
0	0
0	0
0	0
127	21
1215	2
3918	4
10085	24
3	0
79	0
306	2
1	0
1739	10
326	0
13642	24
2612	8
692	2
431	2
326	2
1	0
168	0
184	0
0	0
227	0
1181	2
814	0
4	0
1546	2
578	0
541	0
1391	2
23675	12
179	0
0	0
15	0
330	6
6835	52
0	0
38	0
1745	0
58	0
468	0
1	0
714	0
510	0
709	6
432	2
143	0
94	12
775	16
2	0
142	0
154	2
1226	2
454	0
620	2
674	8
6	0
386	2
0	0
2394	8
0	0
5	0
1957	10
478	0
412	2
1087	0
668	0
989	8
282	0
250	0
817	0
312	0
0	0
26605	14249
71	0
3227	0
0	0
713	8
996	0
373	2
572	2
272	0
357	4
41	0
308	21017
1	1744
0	0
1134	2
1407	0
173	0
486	5
6	0
4	0
66	0
0	0
0	0
1271	0
112	0
11	0
5	0
13	239
66	29
10475	16
0	0
1603	22
0	0
96	12
0	0
0	8
0	0
0	0
0	0
1	24
1	19
0	0
0	0
53	221
1	10
1	7
426	2582
0	42
0	205
0	875
1	0
0	0
0	0
0	0
0	0
265	0
369	0
1699	4
391	0
322	0
601	2
1099	4
0	0
0	133
131	4326
0	0
5	0
9413	22
163	0
113	0
12	0
487	0
3	0
393	2
3201	2
213	0
3627	6
330	2
334	0
667	2
889	0
947	8
575	2
456	4
5	94
250	94
113	0
399	0
934	8
465	3
15	0
2113	12
812	0
84	0
2	0
0	0
1937	3375
0	0
33	0
0	0
2	0
164	8
0	8
319	2
552	0
512	0
0	0
7099	0
206	0
10	0
1173	12
376	0
130	2
113	4
2402	0
284	0
1675	8
380	2
108	0
7	0
450	2
1092	0
979	4
117	0
35	2
4213	10
331	0
2720	4
2	0
177	0
194	0
1411	6
551	6
9	0
159	0
0	0
627	0
703	0
440	6
69	0
242	0
895	2
566	0
46	0
3699	4
133	0
57	0
48	0
3695	26
155	0
88	0
351	0
194	0
2220	6
108	0
220	2
274	0
88	0
3471	4
529	0
3580	2
0	0
0	0
182	0
43	0
1	0
817	4
95	0
93	0
0	0
227	4
2724	18
428	0
2	0
325	0
0	441
908	11111
0	0
447	0
1305	0
936	2
596	2
2030	4
247	0
857	0
416	24
464	2
1074	2
308	0
299	2
1553	3
2003	9
4766	4
30	0
0	646
44	9454
40	0
0	0
1042	12
1151	0
1144	0
972	4
24	0
17	0
186	0
89	0
102	0
1041	6
383	4
1612	2
2255	2
1	0
232	0
582	0
242	2
6648	3958
2	0
309	0
286	0
1523	30
1	0
297	6
1505	2
631	0
415	0
1677	0
0	0
448	0
117	0
499	4
493	0
0	0
216	0
1441	2
292	0
1605	9
488	0
