UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
9	0
0	0
0	3
7	0
0	0
0	0
1	0
70	13
387	4
1213	0
6424	4
0	0
179	0
294	0
0	0
1302	4
229	0
4290	4
2164	12
618	0
297	0
262	2
3	0
185	0
119	0
0	0
154	0
2731	2
712	2
2	0
1655	2
679	0
862	0
536	0
51833	51
79	0
0	0
21	0
664	10
7173	44
0	0
75	0
843	0
105	0
329	0
1	0
549	4
292	0
1023	5
300	4
111	0
101	15
1062	21
0	0
373	0
249	0
2929	4
425	0
595	6
382	0
0	0
734	4
0	0
1560	4
1	0
0	0
1558	2
278	2
298	2
676	0
2151	2
723	12
264	0
221	2
355	4
671	4
0	0
14980	7556
12	0
6179	4
0	0
677	10
771	4
556	2
1199	0
299	0
399	0
50	0
411	26922
0	3171
0	0
915	4
4677	2
147	4
378	0
4	0
1	0
51	0
0	0
0	0
710	2
139	0
7	0
4	0
14	112
44	22
1525	3
0	0
1438	14
0	0
63	14
0	0
0	4
0	0
0	1
0	0
0	17
0	22
0	1
0	0
59	299
4	28
0	19
225	1884
1	14
0	216
1	934
0	0
0	0
0	0
0	0
0	0
272	0
241	2
1563	0
386	0
330	0
389	0
1181	4
0	0
0	388
273	7184
0	0
1	0
6657	26
134	0
184	0
6	0
335	0
3	0
348	0
6022	2
143	0
3103	2
243	0
281	0
772	4
2175	7
509	0
703	4
410	6
12	92
418	92
310	0
207	2
1166	4
233	0
4	0
4530	16
427	0
83	0
0	0
0	0
3455	6640
0	0
51	0
0	0
0	0
315	23
0	23
440	0
535	2
531	2
0	0
3242	4
292	2
0	0
1309	14
319	0
89	0
103	0
1284	0
319	0
1405	0
414	2
279	2
6	0
417	2
1347	10
622	2
54	0
11	0
3108	8
293	0
2570	6
0	0
108	0
472	0
927	6
701	12
8	0
577	4
0	2
289	0
617	2
603	4
116	0
307	2
715	2
587	0
93	0
3061	6
81	2
100	0
132	2
6895	64
134	0
47	0
839	0
271	0
1454	6
80	0
385	2
195	2
109	0
2932	12
457	2
2162	0
0	0
0	0
251	4
22	0
0	0
761	0
133	0
212	0
0	0
279	0
2739	16
324	0
3	0
360	7
7	876
1428	17573
0	0
1027	0
866	2
667	0
477	0
1258	0
341	0
607	2
487	9
310	2
801	4
382	2
313	6
889	4
1200	9
5579	8
97	0
1	1619
168	15922
27	0
0	0
576	2
1355	2
646	0
1283	6
11	0
9	0
118	0
225	0
99	0
1611	2
234	0
2977	2
1293	4
0	0
233	0
950	0
338	4
11156	6488
0	0
333	0
517	2
949	8
0	0
532	8
1273	8
291	0
295	0
1598	2
1	0
705	2
180	0
453	8
389	0
0	0
118	0
946	0
260	0
4518	8
416	0
482	2
