Gene_stable_ID	Gene_name	baseMean	log2FoldChange	lfcSE	pvalue	padj	Description
15S_rRNA	NA	88.8372457560668	0.521091162828379	0.561751784965329	0.00140865322905151	0.0267807834568702	NA
Q0160	SCEI	193.940494489905	0.874278720805319	0.43715096042292	0.000194739405676051	0.0071784129350147	I-SceI DNA endonuclease; encoded by the mitochondrial group I intron of the 21S_rRNA gene; mediates gene conversion that propagates the intron into intron-less copies of the 21S_rRNA gene
YAL012W	CYS3	629.727494830284	0.532775639457425	0.391352845603859	0.00264071274564973	0.0416054231243362	Cystathionine gamma-lyase; catalyzes one of the two reactions involved in the transsulfuration pathway that yields cysteine from homocysteine with the intermediary formation of cystathionine; protein abundance increases in response to DNA replication stress
YAL019W	FUN30	880.442023943559	0.53772671931177	0.267316949946236	0.000595536836361646	0.0149804351841872	Snf2p family member with ATP-dependent chromatin remodeling activity; has a role in silencing at the mating type locus, telomeres and centromeres; enriched at centromeres and is required for correct chromatin structure around centromeres, as well as at the boundary element of the silent HMR; recruited to DNA double-strand breaks (DSBs) where it promotes 5' strand resection of DSBs; potential Cdc28p substrate
YAL025C	MAK16	664.895070698967	0.579766586177394	0.408393252856367	0.00186391340415452	0.032846402243773	Essential nuclear protein; constituent of 66S pre-ribosomal particles; required for maturation of 25S and 5.8S rRNAs; required for maintenance of M1 satellite double-stranded RNA of the L-A virus
YAL029C	MYO4	999.140606178277	0.425636130032653	0.151858443729348	0.000112146608408465	0.00509528117737995	Type V myosin motor involved in actin-based transport of cargos; required for mRNA transport, including ASH1 mRNA, and facilitating the growth and movement of ER tubules into the growing bud along with She3p; MYO4 has a paralog, MYO2, that arose from the whole genome duplication
YAL035W	FUN12	8877.7037277096	0.649297977153729	0.305218115218732	0.000302077440965309	0.00978163470440706	Translation initiation factor eIF5B; GTPase that promotes Met-tRNAiMet binding to ribosomes and ribosomal subunit joining; promotes GTP-dependent maturation of 18S rRNA by Nob1p; protein abundance increases in response to DNA replication stress; homolog of bacterial IF2
YAL048C	GEM1	500.29511894808	-0.329166664310115	0.146266294546376	0.00189590503282833	0.0330769359954616	Outer mitochondrial membrane GTPase, subunit of the ERMES complex; potential regulatory subunit of the ERMES complex that links the ER to mitochondria and may promote inter-organellar calcium and phospholipid exchange as well as coordinating mitochondrial DNA replication and growth; cells lacking Gem1p contain collapsed, globular, or grape-like mitochondria; ortholog of metazoan Miro GTPases
YAL054C	ACS1	9481.26148966542	-0.992067489583766	0.117322364077963	3.53552529245831e-18	1.03608568695491e-14	Acetyl-coA synthetase isoform; along with Acs2p, acetyl-coA synthetase isoform is the nuclear source of acetyl-coA for histone acetylation; expressed during growth on nonfermentable carbon sources and under aerobic conditions
YAL061W	BDH2	4898.59942627116	-0.40691524999398	0.187332057177218	0.000902174314425757	0.0201799817016862	Putative medium-chain alcohol dehydrogenase with similarity to BDH1; transcription induced by constitutively active PDR1 and PDR3
