Query	KEGG	m/z similarity	l2fc	p
13-HPODE	C04717	0.98	1.40271864159871	0.049764423711632
2-Deoxyribose 5-phosphate	C00673	0.99	-0.0144254423605658	0.98209845541056
2-Methylglutaric acid	C02930	1.00	0.0937541004951175	0.595816842397147
2-Oxoglutaric acid	C00026	0.96	0.215457747919832	0.836062712170036
3-Methylxanthine	C16357	0.99	-6.34871871660023	0.288497782616017
3,4-Dihydrospheroidene	C15895	0.89	3.46732363251503	0.00930233388438119
4-Chlorophenol	C02124	0.98	0.277102864293703	0.510042537527633
4-Methyl-5-thiazoleethanol	C04294	0.97	-0.680250113353802	0.318197080496626
5-Hydroxyindole-3-acetic acid	C05635	0.99	-0.289047210730278	0.459482972633033
5-Hydroxytryptophan	C00643	0.95	1.62090777879565	0.4672362671317
7-Methylthioheptyl glucosinolate	C17252	1.00	0.636902741519828	0.71003087291947
Adenine	C00147	0.99	-1.21029174195878	0.392294650134032
Adenosine	C00212	0.97	-0.718344812839378	0.673577880149897
Aesculetin	C09263	0.98	-0.400887972085625	0.411411650681797
Ajmalicine	C09024	1	0.455720871976986	0.728728698221424
all-trans-Retinoic acid	C00777	0.97	0.943705463828471	0.209120289150598
Anhydrorhodovibrin	C15877	0.96	1.31067420045631	0.0359612803225327
Antheraxanthin	C08579	0.95	3.60948433608831	0.00771700861644328
Apigenin	C01477	1	-1.54005049065474	0.0175017946404073
Asparagine	C00152	0.98	0.773194908346317	0.0849290927658296
Aspartate	C00049	1.00	-0.138961243637117	0.845579366067419
Aspartic acid	C00049	1	-0.742834220610264	0.0902339000775749
Astaxanthin	C08580	0.73	2.18453301936981	0.081817081919853
Atrazine-desethyl	C06559	0.95	-0.187906242734757	0.758696958324583
Berberine	C00757	1	0.49463013864481	0.763796673024196
beta-Sitosterol	C01753	0.87	1.20356627607882	0.0211928666735043
Brassicasterol	C08813	1	-1.07041260706897	0.369755575472397
Caffeine	C07481	0.74	0.0790499326145909	0.643856409036015
Calciferol	C05441	0.97	-0.616074252383877	0.267166738508058
Chlorogenic Acid	C00852	0.99	0.86074149519128	0.0679486765745114
Cholesterol	C00187	0.99	-0.806327769075246	0.214623430807211
cis-Aconitic acid	C00417	0.96	0.731000772186995	0.197902954452677
Cis-Zeatin	C15545	1	0.502429477157163	0.722753042235659
Colchicine	C07592	0.89	-0.774911027380478	0.028360243477083
Coumarin	C05851	0.97	0.781525908578215	0.0299079378639184
Creatine	C00300	1	0.893220445411981	0.642455558454945
Cyanidin	C05905	1	0.347631952141192	0.459592010113695
Cysteine	C00097	1	0.156375600886641	0.789540479602894
Cysteinylglycine	C01419	1	0.227241389169984	0.691660046300274
Cytidine	C00475	1.00	-1.21393708054119	0.435105490236277
Cytidine 5'-diphosphocholine	C00307	1	1.53980260642793	0.0245874468978139
D-(-)-Quinic acid	C00296	1.00	1.01232340805115	0.298441174875321
D-Erythrose-4-phosphate	C00279	0.88	2.46425572714893	0.398787818672495
D-Glucose 1-phosphate	C00103	0.97	1.32448275543796	0.362423513975059
D-Sorbitol 6-phosphate	C01096	0.99	-0.15603054993739	0.737910869649115
Daidzin	C10216	0.91	-0.185964880398612	0.824773307192507
Delphinidin	C05908	0.99	0.176502504024306	0.882254906245363
Dihydrotestosterone	C03917	0.61	-0.0652722568250543	0.858813924361745
Dihydrozeatin riboside	C16447	0.64	5.97396765658456	0.0843167388201168
Dopamine	C03758	0.66	-0.909919467043268	0.326666664429504
Doxorubicin	C01661	0.94	2.07834124518243	0.3390847631076
Emetine	C09421	1	-0.26577030189483	0.627939173630145
Erythromycin	C01912	0.99	2.29430636832384	0.0642473458979219
Estriol	C05141	0.75	-0.193839153951647	0.614004328403744
Formononetin	C00858	1	1.86959154741055	0.216418739489128
gamma-Tocotrienol	C14155	0.98	-1.27243033485251	0.214376296620696
Gibberellin A1	C00859	1.00	0.217326374280748	0.575402368012151
Glutamic acid	C00025	0.97	1.73762486276577	0.00841981980316473
Glutamine	C00064	0.62	-0.884318106700418	0.343702733352277
Glycocyamine	C00581	1.00	1.45748984176861	0.0642240588823326
Guanine	C00242	0.94	-0.434945561935255	0.0892630483484863
Guanosine	C00387	0.99	0.561554487090517	0.361852728102926
Hydrocortisone	C00735	0.98	-0.743112411063144	0.0339451903621048
Isopentenyladenine	C04083	0.98	0.161125694888608	0.136877129126217
L-(+)-Rhamnose	C00507	0.98	2.50318355234267	0.0379940874203792
L-(+)-tartaric acid	C00898	0.99	-4.50995431531821	0.186730498910848
L-2-Aminoadipic acid	C00956	1	0.097663042297942	0.869062706079893
L-5-Oxoproline	C01879	0.83	0.196190686015524	0.55569627954968
L-Asparagine	C00152	1.00	1.08949894244154	0.247995387337407
L-Carnosine	C00386	0.85	-0.21738065803515	0.620768574550082
L-Glutamic acid	C00025	0.95	0.00324605824333787	0.99752234113744
L-Tyrosine	C00082	0.92	0.139997710890428	0.855593167625041
Lactose	C00243	0.91	0.180771525288148	0.704865794989037
Lysine	C00047	0.85	0.21982027877163	0.729538311028531
Methionine	C00073	0.96	0.182530415464832	0.832025704227022
Myricetin	C10107	0.99	-0.246391836257933	0.739638346020813
NAD+	C00003	0.81	2.81903272160979	0.0243258180486232
NADH	C00004	0.89	2.82048017435075	0.000190612246126845
Naringenin	C00509	0.94	2.0934584651846	0.107257070181338
Naringin	C09789	0.92	2.84232752322466	0.0113977253150602
O-Phospho-L-serine	C01005	0.61	0.0233951589020716	0.826257757709794
O-Phosphoethanolamine	C00346	1.00	-3.55874374880576	0.00110086331501228
Phenylalanine	C00079	0.86	-1.06186651555949	0.0569342343873501
Phloretin	C00774	0.96	1.86766562562171	0.0870477934073831
Phosphoenolpyruvic acid	C00074	0.93	0.010898792584042	0.756739070632293
Phytofluene	C05414	1	3.40747002124797	0.0334286441577318
Progesterone	C00410	1	-0.307869282737152	0.619315361886687
Quercetin	C00389	0.72	0.210315152063036	0.841291890541848
Rhamnose	C00507	0.99	0.428096356372758	0.192190762547558
Rosmarinic acid	C01850	0.97	2.02043363221642	0.0341162882807932
Rotenone	C07593	1	1.61223566676673	0.0915093794701711
S-Adenosyl-L-homocysteine	C00021	0.98	0.430904813827879	0.206734735499441
Serotonin	C00780	1	-0.133480226713414	0.574544540400014
sn-Glycerol 3-phosphate	C00093	0.92	0.712903377220606	0.144717440033847
Sorbitol	C00794	0.89	0.0354490768540453	0.77028761130007
Streptomycin	C00413	0.87	1.45577711763763	0.204513238491754
Succinic acid	C00042	1.00	-0.398730603842788	0.277575902847953
Sucrose	C00089	1.00	0.0745989108798745	0.82269264974966
Taurocholate	C05122	0.99	1.3620002495534	0.0776769037001313
Thiamine	C00378	0.96	0.250338753213524	0.475836082582184
Thymine	C00178	1	1.25551466797279	0.275292960255595
Tryptophan	C00078	1.00	1.47531509893994	0.0562190332985707
TxB2	C05963	0.99	-0.138112610432848	0.667438671950745
Uracil	C00106	0.97	0.487286795249794	0.60745714384296
Uridine 5'-diphospho-N-acetylgalactosamine	C00203	0.89	2.41453040119982	0.100276517559128
Xanthotoxin	C01864	0.68	-0.690942417572718	0.311704935619233
