"database_identifier"	"chemical_formula"	"smiles"	"inchi"	"metabolite_identification"	"mass_to_charge"	"fragmentation"	"modifications"	"charge"	"retention_time"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"QC1"	"QC2"	"R1_pre"	"R2_pre"	"R3_pre"	"Y1_pre"	"Y2_pre"	"Y3_pre"	"QC3"	"R1_post"	"R2_post"	"R3_post"	"Y1_post"	"Y2_post"	"Y3_post"	"QC4"
"CHEBI:27389"	"C4H9NO2"	"CC(CN)C(O)=O"	"QCHPKSFMDHPSNR-UHFFFAOYNA-N"	"DL-3-Aminoisobutyric acid"	"102.05409"	""	""	""	"5.942"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"2187"	"5084"	"5355"	"5706"	"5845"	"6337"	"5730"	"5834"	"6576"	"6404"	"7066"	"7543"	"6910"	"6324"	"5563"	"6289"
"CHEBI:27389"	"C4H9NO2"	"CC(CN)C(O)=O"	"QCHPKSFMDHPSNR-UHFFFAOYNA-N"	"DL-3-Aminoisobutyric acid"	"102.05823"	""	""	""	"0.613"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3408"	"0"	"11185"	"4828"	"11223"	"0"	"24623"	"8441"	"0"
""	"C3H6O4"	"OC[C@@H](O)C(O)=O"	"RBNPOMFGQQGHHO-UWTATZPHSA-N"	"D-(+)-Glyceric acid"	"105.01221"	""	""	""	"11.324"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"3303"	"4077"	"3495"	"16120"	"3918"	"4047"	"3753"	"4288"	"4536"	"3908"	"4601"	"4698"	"3867"	"4771"	"4707"	"3810"
"CHEBI:16344"	"C3H7N3O2"	"NC(=N)NCC(O)=O"	"BPMFZUMJYQTVII-UHFFFAOYSA-N"	"Glycocyamine"	"116.04885"	""	""	""	"2.198"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"0"	"3414"	"16132"	"2843"	"6628"	"16243"	"2696"	"0"	"6520"	"1526"	"2457"	"0"	"12614"	"0"	"0"	"6995"
"CHEBI:16344"	"C3H7N3O2"	"NC(=N)NCC(O)=O"	"BPMFZUMJYQTVII-UHFFFAOYSA-N"	"Glycocyamine"	"116.05106"	""	""	""	"1.895"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"0"	"1985"	"11408"	"501"	"4765"	"7200"	"775"	"0"	"5831"	"553"	"1799"	"0"	"5340"	"0"	"0"	"4776"
"CHEBI:15741"	"C4H6O4"	"OC(=O)CCC(O)=O"	"KDYFGRWQOYBRFD-UHFFFAOYSA-N"	"Succinic acid"	"117.01468"	""	""	""	"0.957"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"0"	"5085"	"999"	"9139"	"3588"	"2131"	"8488"	"13870"	"9264"	"13280"	"12953"	"24777"	"4784"	"16075"	"14468"	"9876"
"CHEBI:15741"	"C4H6O4"	"OC(=O)CCC(O)=O"	"KDYFGRWQOYBRFD-UHFFFAOYSA-N"	"Succinic acid"	"117.01468"	""	""	""	"0.573"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"0"	"1119"	"1254"	"4286"	"2718"	"3823"	"4290"	"6031"	"2336"	"4164"	"5550"	"7294"	"3127"	"4616"	"5158"	"2322"
"CHEBI:15741"	"C4H6O4"	"OC(=O)CCC(O)=O"	"KDYFGRWQOYBRFD-UHFFFAOYSA-N"	"Succinic acid"	"117.01468"	""	""	""	"11.315"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"2794"	"3848"	"4558"	"5281"	"5223"	"4466"	"4125"	"4150"	"3187"	"4540"	"4413"	"4127"	"3999"	"4022"	"4283"	"3997"
"CHEBI:15741"	"C4H6O4"	"OC(=O)CCC(O)=O"	"KDYFGRWQOYBRFD-UHFFFAOYSA-N"	"Succinic acid"	"117.01468"	""	""	""	"0.669"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"0"	"1119"	"0"	"4286"	"0"	"0"	"132"	"2167"	"2336"	"134"	"5550"	"19136"	"0"	"3251"	"6911"	"2322"
"CHEBI:15741"	"C4H6O4"	"OC(=O)CCC(O)=O"	"KDYFGRWQOYBRFD-UHFFFAOYSA-N"	"Succinic acid"	"117.01689"	""	""	""	"1.162"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"483"	"9400"	"7106"	"12490"	"8507"	"8280"	"12128"	"14602"	"11139"	"26732"	"17340"	"16220"	"11946"	"16384"	"17167"	"14173"
"CHEBI:75331"	"C6H5N3"	"N1N=NC2=CC=CC=C12"	"QRUDEWIWKLJBPS-UHFFFAOYSA-N"	"1H-Benzotriazole"	"118.04012"	""	""	""	"5.858"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"1107"	"2135"	"2349"	"2310"	"2893"	"2500"	"2735"	"2781"	"2809"	"2630"	"3133"	"2304"	"2173"	"2844"	"2006"	"2522"
"CHEBI:16600"	"C5H6O4"	"C\C(=C/C(O)=O)C(O)=O"	"HNEGQIOMVPPMNR-NSCUHMNNSA-N"	"Mesaconic acid"	"129.02147"	""	""	""	"0.600"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"170"	"0"	"4551"	"1712"	"1715"	"0"	"6218"	"1541"	"0"
"CHEBI:15603"	"C6H13NO2"	"CC(C)C[C@H](N)C(O)=O"	"ROHFNLRQFUQHCH-YFKPBYRVSA-N"	"L-Leucine"	"130.09113"	""	""	""	"1.211"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"10923"	"46808"	"62576"	"49287"	"65449"	"72759"	"56111"	"25922"	"74495"	"52974"	"62222"	"23176"	"86816"	"29332"	"26003"	"77832"
"CHEBI:15603"	"C6H13NO2"	"CC(C)C[C@H](N)C(O)=O"	"ROHFNLRQFUQHCH-YFKPBYRVSA-N"	"L-Leucine"	"130.09113"	""	""	""	"1.211"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"10923"	"46808"	"62576"	"49287"	"65449"	"72759"	"56111"	"25922"	"74495"	"52974"	"62222"	"23176"	"86816"	"29332"	"26003"	"77832"
""	"C4H8N2O3"	"N[C@@H](CC(O)=N)C(O)=O"	"DCXYFEDJOCDNAF-REOHCLBHSA-N"	"L-Asparagine"	"131.03859"	""	""	""	"0.644"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"0"	"3354"	"1429"	"6660"	"6004"	"3194"	"7318"	"19633"	"6665"	"9352"	"4033"	"14021"	"6207"	"30319"	"21794"	"7658"
