"database_identifier"	"chemical_formula"	"smiles"	"inchi"	"metabolite_identification"	"mass_to_charge"	"fragmentation"	"modifications"	"charge"	"retention_time"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"QC1"	"QC2"	"R1_pre"	"R2_pre"	"R3_pre"	"Y1_pre"	"Y2_pre"	"Y3_pre"	"QC3"	"R1_post"	"R2_post"	"R3_post"	"Y1_post"	"Y2_post"	"Y3_post"	"QC4"
"CHEBI:18049"	"C5H11N"	"C1CCNCC1"	"NQRYJNQNLNOLGT-UHFFFAOYSA-N"	"Piperidine"	"86.09486"	""	""	""	"1.263"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"109219"	"0"	"707147"	"278625"	"472245"	"588556"	"289342"	"106551"	"0"	"247112"	"269768"	"77023"	"489548"	"107417"	"92232"	"0"
"CHEBI:18049"	"C5H11N"	"C1CCNCC1"	"NQRYJNQNLNOLGT-UHFFFAOYSA-N"	"Piperidine"	"86.09846"	""	""	""	"1.307"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"107841"	"0"	"3111"	"247"	"838"	"2736"	"285783"	"104686"	"0"	"243706"	"264366"	"74588"	"675"	"106041"	"89933"	"0"
"CHEBI:18049"	"C5H11N"	"C1CCNCC1"	"NQRYJNQNLNOLGT-UHFFFAOYSA-N"	"Piperidine"	"86.09866"	""	""	""	"1.215"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"1403"	"0"	"2475"	"290"	"1910"	"3254"	"1605"	"1985"	"0"	"3817"	"1751"	"5388"	"10366"	"12072"	"4058"	"0"
"CHEBI:18053"	"C4H7NO2"	"NC1(CC1)C(O)=O"	"PAJPWUMXBYXFCZ-UHFFFAOYSA-N"	"1-Aminocyclopropane-1-carboxylic acid"	"102.05432"	""	""	""	"0.941"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"23092"	"14"	"82174"	"32345"	"51501"	"70574"	"31195"	"11581"	"45"	"27983"	"28977"	"9607"	"52219"	"12147"	"9108"	"32"
"CHEBI:17115"	"C3H7NO3"	"N[C@@H](CO)C(O)=O"	"MTCFGRXMJLQNBG-REOHCLBHSA-N"	"L-Serine"	"104.03138"	""	""	""	"4.02"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"0"	"7107"	"2201"	"300"	"300"	"631"	"166"	"812"	"462"	"861"	"276"	"1427"	"749"	"676"	"304"	"683"
"CHEBI:17115"	"C3H7NO3"	"N[C@@H](CO)C(O)=O"	"MTCFGRXMJLQNBG-REOHCLBHSA-N"	"L-Serine"	"104.03138"	""	""	""	"4.02"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"0"	"7107"	"2201"	"300"	"300"	"631"	"166"	"812"	"462"	"861"	"276"	"1427"	"749"	"676"	"304"	"683"
"CHEBI:28797"	"C4H9NO2"	"CC[C@@H](N)C(O)=O"	"QWCKQJZIFLGMSD-GSVOUGTGSA-N"	"D-2-Aminobutyric acid"	"104.06894"	""	""	""	"0.557"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"9765"	"0"	"11354"	"21595"	"21229"	"15993"	"17615"	"44497"	"0"	"0"	"0"	"8344"	"7217"	"32402"	"46800"	"0"
"CHEBI:28797"	"C4H9NO2"	"CC[C@@H](N)C(O)=O"	"QWCKQJZIFLGMSD-GSVOUGTGSA-N"	"D-2-Aminobutyric acid"	"104.07103"	""	""	""	"1.192"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2501"	"562"	"0"	"1144"	"686"	"0"	"0"
"CHEBI:15354"	"C5H14NO"	"C[N+](C)(C)CCO"	"OEYIOHPDSNJKLS-UHFFFAOYSA-N"	"Choline"	"104.10442"	""	""	""	"0.619"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"76208"	"0"	"117842"	"73912"	"230673"	"43617"	"199449"	"223171"	"0"	"33239"	"103225"	"21580"	"161126"	"57536"	"36464"	"0"
"CHEBI:15354"	"C5H14NO"	"C[N+](C)(C)CCO"	"OEYIOHPDSNJKLS-UHFFFAOYSA-N"	"Choline"	"104.10651"	""	""	""	"0.562"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"3920"	"0"	"1268"	"1091"	"1569"	"1477"	"394"	"943"	"0"	"32613"	"2933"	"8115"	"3932"	"6047"	"3973"	"0"
