"Metabolite name"	"m/z similarity"	"l2fc"	"p"
"(S)-(+)-Citramailc acid"	"0.98"	-0.267089882538621	0.487358062507168
"1,6-Anhydro-beta-D-glucose"	"1"	-0.246108926082574	0.514149645889809
"1-(3-(Trifluoromethyl)phenyl)piperazine"	"0.78"	-0.748210670884624	0.480771979439273
"1-(3-Chlorophenyl)piperazine"	"0.95"	-0.175810951700305	0.638059461324652
"1-Decanoyl-2-hydroxy-sn-glycero-3-phosphocholine"	"0.69"	-0.673311746583367	0.56910464468749
"1-O-beta-D-Glucopyranosyl sinapate"	"0.98"	0.139605139762767	0.663489751930203
"1-Palmitoyl-2-oleoyl-3-linoleoyl-rac-glycerol"	"0.85"	1.15096266089955	0.237484866283301
"1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine"	"1"	-0.196210759770468	0.817610726672783
"10,11-trans-Dihydroxy-10,11-dihydrocarbamazepine"	"1"	-0.177598970440425	0.73827148078522
"13-HPODE"	"0.98"	1.40271864159871	0.049764423711632
"17-HDoHE"	"1.00"	0.0119453073960719	0.950358419366894
"1H-Benzotriazole"	"1"	-0.155190751093187	0.57253777743478
"2,7-Naphthalenedisulfonic acid"	"0.85"	1.1310104103773	0.0993056111485272
"2-Coumaric acid"	"1"	0.154659057156009	0.703024231076134
"2-Deoxyribose 5-phosphate"	"0.99"	-0.0144254423605658	0.98209845541056
"2-Methylbenzothiazole"	"0.99"	0.344300974668627	0.463008362692216
"2-Methylglutaric acid"	"1.00"	0.0937541004951175	0.595816842397147
"2-Naphthalenesulfonic acid"	"0.96"	0.515834616217276	0.409274280943756
"2-Oxoglutaric acid"	"0.96"	0.138650979006258	0.891008017962365
"3',5'-Cyclic AMP"	"1"	0.660713076225444	0.0337977149791031
"3,4-Dihydrospheroidene"	"0.66"	2.48355472634164	0.113949750344224
"3,4-Dimethoxycinnamic acid"	"0.99"	-0.831554353616128	0.173161898338119
"3,5-Dibromo-L-tyrosine"	"0.87"	-0.576377183333397	0.0480202117939451
"3-Phospho-D-glycerate"	"0.97"	-0.630275892601683	0.0965025652380451
"4-Hydroxybenzoylcholine"	"0.99"	-0.0685279259965218	0.630895253461917
"4-Isopropylaniline"	"1"	0.626353825223844	0.489423841157037
"4-Methyl-5-thiazoleethanol"	"0.97"	-0.680250113353802	0.318197080496626
"5-Fluorouracil"	"1"	-0.688374235091438	0.0332370372988353
"6-Methylcoumarin"	"0.97"	-0.639490665027056	0.177824423518862
"7-Hydroxyflavone"	"0.98"	1.0024955692989	0.0569352730049505
"8'-Apozeaxanthinal"	"1"	-0.593283823909034	0.0463038602987271
"Acetamiprid"	"0.63"	-0.719230539683306	0.114869756855211
"Adenine"	"0.99"	-1.21029174195878	0.392294650134032
"Adenosine"	"0.97"	-0.718344812839378	0.673577880149897
"Adenosine 5'-diphospho-glucose"	"0.78"	1.86167078891265	0.0235355652152747
"Aesculetin"	"0.98"	-0.400887972085625	0.411411650681797
