"Metabolite name"	"m/z similarity"	"l2fc"	"p"
"(S)-(+)-Citramailc acid"	"0.98"	0.0209849656144076	0.947971631939536
"1,6-Anhydro-beta-D-glucose"	"1"	0.130636589254112	0.68658472467919
"1-(3-(Trifluoromethyl)phenyl)piperazine"	"0.78"	-0.336062038795177	0.288194374281482
"1-(3-Chlorophenyl)piperazine"	"0.95"	0.484796247869535	0.127317341048498
"1-Decanoyl-2-hydroxy-sn-glycero-3-phosphocholine"	"0.69"	2.92041758654424	0.365511346077044
"1-O-beta-D-Glucopyranosyl sinapate"	"0.98"	-0.0431804713807661	0.947416165713338
"1-Palmitoyl-2-oleoyl-3-linoleoyl-rac-glycerol"	"0.85"	0.634160436846879	0.488007868504116
"1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine"	"1"	0.249857678909645	0.691771968401773
"10,11-trans-Dihydroxy-10,11-dihydrocarbamazepine"	"1"	0.475165646154667	0.492009188528356
"13-HPODE"	"0.98"	0.116803872829987	0.866365144591788
"17-HDoHE"	"1.00"	-0.354669537380292	0.0680087642082419
"2,7-Naphthalenedisulfonic acid"	"0.85"	-1.73971975043934	0.0502494431015372
"2-Coumaric acid"	"1"	-0.29415054475112	0.349505331587511
"2-Deoxyribose 5-phosphate"	"0.99"	-0.113733696936736	0.859617057499288
"2-Methylbenzothiazole"	"0.99"	-0.539718372838232	0.207262507432999
"2-Methylglutaric acid"	"1.00"	-0.529183338361669	0.136929157577787
"2-Naphthalenesulfonic acid"	"0.96"	0.636782196327452	0.294767462142172
"2-Oxoglutaric acid"	"0.96"	0.472561481931806	0.643218744026106
"3',5'-Cyclic AMP"	"1"	0.797408290457586	0.310738900057497
"3,4-Dihydrospheroidene"	"0.66"	-0.375790841460028	0.355311101466993
"3,4-Dimethoxycinnamic acid"	"0.99"	0.615205737295193	0.401598029546823
"3,5-Dibromo-L-tyrosine"	"0.87"	1.10591954493914	0.22129692673931
"3-Phospho-D-glycerate"	"0.97"	0.162476999836861	0.759623492443043
"4-Hydroxybenzoylcholine"	"0.99"	0.30292020330205	0.0588766458542276
"4-Isopropylaniline"	"1"	-1.30941314300559	0.00593378805087118
"4-Methyl-5-thiazoleethanol"	"0.97"	0.115050704903471	0.533251547946125
"5-Fluorouracil"	"1"	0.913140906692013	0.103130162064645
"6-Methylcoumarin"	"0.97"	1.55943897651015	0.0914335634174278
"7-Hydroxyflavone"	"0.98"	0.594243328745879	0.318641437288802
"8'-Apozeaxanthinal"	"1"	0.0930058777837884	0.526180340883295
"Acetamiprid"	"0.63"	0.206335244853566	0.655740127460434
"Adenine"	"0.99"	-0.454271971687185	0.400229400650621
"Adenosine"	"0.97"	1.77116033631598	0.23509817064409
"Adenosine 5'-diphospho-glucose"	"0.78"	-2.14312866309095	0.230852167421993
"Aesculetin"	"0.98"	1.15810131353167	0.235652021586108
"Ajmalicine"	"1"	0.678468106575283	0.400364975011646
"Amarouciaxanthin A"	"0.69"	0.743929230816249	0.364535661210414
"Ametryn"	"0.88"	0.394551591690126	0.375128472719044
"Aminopyrine"	"0.67"	0.948547193158201	0.0104769461433242
"Apigenin"	"1"	0.488457296228491	0.0853368969503284
"Apramycin"	"0.8"	0.756505435864987	0.1014271130224
"Artemisinin"	"1"	0.336581435241224	0.245316977127445
"Asparagine"	"0.98"	1.174483569802	0.0827598333416693
"Aspartate"	"1.00"	-0.106970650649965	0.911715221675554
"Aspartic acid"	"1"	0.405002242101419	0.474537839045022
"Asulam"	"1"	0.0976717005783094	0.88287012909513
"Atenolol-desisopropyl"	"0.8"	-0.0366052113482019	0.888873692826999
"Atraton"	"0.79"	-1.35518945791644	0.0566472681756053
"Baicalin"	"1"	-0.164132142004655	0.710657566728519
"Bentazone"	"0.99"	0.140034902218613	0.763442182061051
"Benzimidazole"	"1"	0.997876734099196	0.0248793147959122
"Benzoylcholine"	"0.83"	0.376848027687459	0.0023599725148993
"Biotin"	"1"	0.428263964764942	0.139059537050529
"Boldenone_Undecylenate"	"0.85"	0.382106279674999	0.300155858681779
"Boldine"	"1"	1.49351856950233	0.0292557137798648
"Brassicasterol"	"1"	-0.566391916580198	0.168619251729809
"Brefeldin-A"	"1"	-0.705751336280232	0.185288229959534
"Bumetanide"	"1"	-0.183630819482737	0.43407733600302
"C60"	"0.94"	-0.00569113888028727	0.99432892813561
"Callistephin"	"1.00"	0.0897648526975329	0.607644626741865
"Carbendazim"	"0.78"	-0.346507425343032	0.650705851474376
"Chalcone"	"0.77"	-0.105493930966759	0.854560874426951
"Chloramphenicol"	"0.94"	-1.40314335281369	0.473629453888268
"Chloridazon"	"0.81"	0.484680877564723	0.345567436882971
"Chlorogenic Acid"	"0.99"	-0.334201180454703	0.45676510959799
"Chloroxuron"	"1"	0.244839961721031	0.701731540841482
"Chlortoluron"	"0.76"	1.15663383012055	0.132478946368011
"Chrysin"	"0.82"	0.785435730696944	0.141485620908755
"Cilastatin"	"0.91"	0.104649402581615	0.695369239443537
"Citalopram"	"1"	-0.0138484040028528	0.950672769284159
"Claussequinone"	"0.95"	-0.00585305108908122	0.994303007070499
"Clotrimazole"	"0.89"	-0.150762814531871	0.721742634485996
"Corbiculaxanthin-3'-acetate"	"1"	-0.302779038355438	0.657109013508926
"Crotamiton"	"0.92"	-0.199367089512939	0.521331995818847
"Crystal violet"	"0.99"	0.44875955619815	0.238551904402341
"Cyanidin-3-O-(2''-O-beta-xylopyranosyl-beta-glucopyranoside)-5-O-beta-glucopyranoside"	"0.7"	1.36564265348101	0.07797037188347
"Cymarin"	"0.91"	0.213962100722089	0.661012939642388
"Cymoxanil"	"0.87"	-0.0969347254777399	0.821021438958584
"Cyprodinil"	"1"	-1.06638207630335	0.448877590274624
"Cysteinylglycine"	"1"	0.476029346832829	0.295643223589061
"Cystine"	"0.95"	0.735776448212845	0.184247776889158
"Cytidine"	"1.00"	2.96715576766128	0.16743802014372
"D-(+)-Galactosamine"	"0.93"	-0.797848117680684	0.00808515329902158
"D-(+)-Glyceric acid"	"1.00"	-1.05081192005385	0.382328516530974
"D-(-)-Erythrose"	"0.98"	0.165387399423268	0.828839228631883
"D-(-)-Gulono-gamma-lactone"	"0.99"	-0.641604838107422	0.275923971485496
"D-(-)-Quinic acid"	"1.00"	-0.34002353737961	0.452947101075738
"D-Ala-D-ala"	"0.99"	0.56861484159185	0.306233402382698
"D-Carnitine"	"0.98"	0.768771549498177	0.133162228966573
"D-Glucose 1-phosphate"	"0.97"	0.641922233915572	0.588761017503068
"D-Sorbitol 6-phosphate"	"0.99"	0.968498107700818	0.420025069355857
"DErySphingosine"	"0.98"	-1.14635890926333	0.102941352406548
"DL-3,4-Dihydroxymandelic acid"	"1.00"	-0.788471225723705	0.306441530125807
"DL-Isocitric acid"	"0.98"	-0.0831862747518191	0.846713032757402
"Deoxycholic acid"	"0.99"	0.0818892517559534	0.581434701193328
"Dexamethasone"	"0.99"	-0.711647407502235	0.187608315125112
"Diazinon"	"0.99"	0.183177381970807	0.832393574855655
"Diazoxon"	"0.97"	-0.521682868674631	0.442532522898384
"Dicamba"	"0.95"	0.380285547470826	0.340473988716848
"Dichlorvos"	"1"	0.602229758337343	0.191881384166839
"Dihydrotestosterone"	"0.61"	0.30502959117682	0.623009933741535
"Dihydrozeatin-9-beta-D-glucoside"	"0.85"	0.929976643239946	0.130113934843544
"Diphenoxylate"	"0.96"	0.694765666243344	0.149611898614772
"Diuron-desmethyl"	"0.74"	0.385099511275081	0.219105184392769
"Drofenine"	"0.94"	0.0106739141020111	0.956000068061747
"Emetine"	"1"	0.697130859973949	0.109959986991641
"Enalapril"	"1"	0.289863801807137	0.141066435963378
"Enalaprilat"	"1"	0.457413162596188	0.136436785753684
"Eprosartan"	"0.98"	0.275963061558703	0.0675818176946312
"Estriol"	"0.75"	0.667572569814818	0.250654083182238
"Exemestane"	"0.87"	0.030298334052358	0.895719274302324
"Fenofibric acid"	"1.00"	-0.547134468218046	0.396046096933348
"Fenpropimorph"	"0.99"	1.2189611176469	0.180898107452483
"Fipronil"	"0.93"	0.801123550065245	0.00246764933445216
"Flufenamic acid"	"1"	1.19617634464367	0.260740520419969
"Forskolin"	"0.77"	-0.420944730025554	0.0211020857419957
"Fortunellin"	"0.99"	0.306712464137187	0.282436534453706
"Fucoxanthin"	"0.83"	-0.430804280672445	0.411168540690716
"Fukugetin"	"0.94"	-1.32059078537524	0.00557103511655898
"GalNAcFucGlcNAcThrNAc-I"	"0.64"	1.81035790492721	0.273384905325931
"Galaxolidone"	"0.9"	0.331468442279096	0.0912265627609833
"Gemcitabine"	"0.99"	-0.18775439417586	0.791764491915901
"Gibberellin A1"	"1.00"	0.0190768925070729	0.795877378068363
"Glutamic acid"	"0.97"	0.865112423960406	0.0197961691546476
"Glutamine"	"0.62"	0.535925287315952	0.287237224261013
"Glycocyamine"	"1.00"	0.0150999074858734	0.988026763035978
"Glycyl-L-proline"	"0.78"	0.80783145324695	0.00122107155473824
"Guanine"	"0.88"	0.547225567540914	0.350935136650274
"Harmaline"	"0.99"	-0.615948155728654	0.0555643647985274
"Harman"	"1"	0.443192490652221	0.136870260752063
"Hesperidin"	"1"	0.330555494244849	0.645366635923046
"Hesperidin methyl chalcone"	"0.98"	-0.109044946995676	0.886053362222373
"Hycanthone"	"0.64"	0.293046752180216	0.397354269643204
"Hydrocortisone"	"0.98"	0.386475844862151	0.040465163105263
"IRGANOX 1035"	"0.69"	-0.383211640573647	0.377475675091463
"Icariin"	"0.62"	-0.73001729383468	0.518220548560953
"Imazalil"	"0.96"	0.142404806452682	0.380328794333936
"Indole-3-acetonitrile"	"0.88"	0.309288682486189	0.45969356186669
"Indole-3-acetyl-L-aspartic acid"	"0.69"	0.251992773326448	0.484488158542447
"Ioxitalamic acid"	"0.98"	0.431442142839624	0.568236814508225
"Iprovalicarb"	"0.93"	-0.412791067274144	0.380768176339692
"Irgarol"	"0.72"	-0.27274353344857	0.596788741152889
"Isopentenyladenine"	"0.98"	-3.62984362827227	0.396367896115535
"Isoproturon-monodemethyl"	"0.75"	0.618259454976804	0.251247735740404
"Kaempferide"	"0.99"	-0.413043821724146	0.525108345927001
"Ketoconazole"	"1"	-0.568341756914161	0.335259876285876
"Ketoprofen"	"0.94"	2.54522229062029	0.201227832811841
"L-5-Oxoproline"	"0.83"	-0.396267004213224	0.387791460996135
"L-Carnosine"	"0.85"	0.427712423874023	0.0964871471905609
"L-Glutamic acid"	"0.95"	0.464643388724184	0.462853334599012
"L-Glutathione (oxidized form)"	"0.66"	-0.0660381969779798	0.87419393029077
"L-Tyrosine"	"0.92"	0.0812576917236309	0.892079501944095
"L-beta-Homotyrosine"	"0.96"	-0.62565832403146	0.17683526936328
"Lactose"	"0.91"	-0.668896694514695	0.0752197234701644
"Laudanosine"	"1"	0.432832833061832	0.0263014333385944
"Leu-Leu-Tyr"	"0.99"	0.0673847605331228	0.734345911841657
"Leucine_Enkephalin"	"1"	-7.29998070029441	0.0478273443152229
"Leupeptin"	"0.98"	-0.199098507102826	0.747724154247962
"Levamisole"	"0.97"	-0.301317984633395	0.543358535427046
"Levetiracetam"	"0.68"	-0.234113574233124	0.654322781366186
"Lincomycin"	"0.94"	-0.863435739052815	0.0518979084054678
"Lysine"	"0.85"	0.134228490079199	0.649429081653592
"MCPA"	"1.00"	-0.913958586984517	0.0135776222029172
"MCPB"	"0.99"	-0.496168961570821	0.00525393526485507
"Mactraxanthin"	"0.76"	-0.84026514767824	0.240567179575006
"Maltitol"	"0.98"	0.989862521333439	0.519586841367021
"Man3GlcNAc"	"0.93"	1.31328284918211	0.140850698219463
"Mephedrone"	"1"	1.34000153822904	0.00340992395331775
"Metazachlor OXA"	"0.89"	-0.418654118820704	0.716612412791826
"Methionine"	"0.96"	-0.552450522738912	0.431418624882519
"Methomyl"	"0.99"	-0.407773193203268	0.195597609626334
"Methotrexate"	"0.94"	-0.103589300603787	0.761042368375763
"Methoxyfenozide"	"0.95"	1.27839399508405	0.0793828484187926
"Methylergonovine"	"0.97"	-0.181521791006024	0.790576152928786
"Methylprednisolone"	"1"	-1.13973809138744	0.0494003638137977
"Metribuzin-diketo"	"0.76"	-0.00914714682973149	0.985389024376407
"Metronidazole"	"1"	-0.930277155682691	0.266718700336359
"Morphine_3_Glucuronide"	"0.94"	0.467996471932054	0.235099445568299
"Myxoxanthophyll"	"0.99"	-0.168664182633922	0.62901256687698
"N,N-Diethyl-4-hydroxybenzamide"	"1"	-0.376970343172101	0.452907382021807
"N-Acetyl-DL-aspartic acid"	"0.72"	1.52705338110889	0.373511282755545
"N-alpha-Acetyl-L-ornithine"	"0.99"	0.221729184226373	0.216943849330673
"NAD+"	"0.81"	-0.429570476061464	0.650477736576623
"Naringenin"	"0.94"	-0.246227689544785	0.360979264521876
"Naringin"	"0.71"	-0.559649074294991	0.122554001857972
"Neotame"	"0.64"	0.558964307039399	0.120437011101725
"Nicosulfuron"	"0.68"	-1.20568093133044	0.385656180243169
"Nicotinoylcholine"	"0.93"	-0.875824798951144	0.180532588597142
"Norharmane"	"0.86"	-0.431171108302815	0.293774876786619
"O-Phospho-L-serine"	"0.61"	0.122217124689068	0.17319898798017
"Orotic acid"	"1"	0.884242024662037	0.206501148968968
"Oseltamivir"	"1"	0.678399752337545	0.428735927177585
"Paracetamol"	"1"	0.0224779205695635	0.860130987951601
"Pentamidine"	"0.95"	0.292714198309724	0.401598721095542
"Peridinin"	"0.87"	0.442283066349193	0.506085657674421
"Pethoxamide"	"1"	-0.490598045030684	0.494030088050622
"Petunidin"	"0.94"	0.105821239661204	0.911000630643483
"Phenmedipham"	"0.95"	-0.340328727896623	0.148528228833975
"Phenylalanine"	"0.86"	0.726645502960197	0.346493879712272
"Phloretin"	"0.68"	-0.65529186379084	0.53698174236528
"Phosphatidylethanolamine 16"	"0.94"	-0.0723822423862984	0.940574207435278
"Phosphatidylethanolamine lyso 18"	"0.99"	-2.18288950356018	0.431817985037233
"Phosphatidylinositol 16"	"1.00"	1.1552607362294	0.0631410893844766
"Phosphatidylinositol 18"	"0.97"	0.322363207339497	0.437216522535008
"Phosphatidylinositol lyso 18"	"0.96"	-0.556049846343988	0.387001203736352
"Phosphoenolpyruvic acid"	"0.93"	-0.0804646705250679	0.077426696397137
"Phthalic anhydride"	"0.96"	-0.0816771800641251	0.697995027486342
"Piperacetazine"	"0.99"	0.0658735568906712	0.699012912767288
"Pirimicarb"	"0.99"	-0.893160936200406	0.114466717129278
"Praziquantel"	"0.82"	-0.0197157539730198	0.980883271629946
"Prednisolone"	"0.77"	0.298913343292994	0.249496312750151
"Prednisolone_Tebutate"	"1"	-0.40671962936826	0.428562581606407
"Prednisone"	"0.8"	-0.213164346610861	0.741996242435582
"Propachlor ESA"	"0.76"	0.209290358070609	0.375829050644795
"Puerarin"	"0.99"	-0.691981831844733	0.26629056979574
"Pymetrozine"	"1"	0.242465509040605	0.339100694966961
"Pyrimethamine"	"0.7"	0.479518380340265	0.125359801543629
"Pyrroxanthin 5,8-furanoxide"	"0.7"	0.0719473367776415	0.897229585822509
"Quercetin"	"0.72"	0.104975937748588	0.86143499894242
"Quercetin-3-(6''-malonyl)-Glucoside"	"0.83"	0.512385287586279	0.649217585505381
"Rhamnose"	"0.98"	0.0078295169940391	0.969888170518351
"Ricinoleic acid"	"0.99"	0.099527993013055	0.536164839859769
"Robinin"	"1"	1.12772857331894	0.0395152979280079
"Rotenone"	"1"	0.421113042370641	0.325941824528588
"S-Adenosyl-L-homocysteine"	"0.98"	-0.0879641065324088	0.194671428546325
"Santonin"	"0.95"	0.365684592026039	0.00135099520352444
"Scopoletin"	"1"	-0.246529078973202	0.743955664338056
"Simazine-2-hydroxy"	"1"	0.489635703859049	0.450470975832506
"Sorbitol"	"0.89"	0.0178538448993065	0.928889192244897
"Streptomycin"	"0.87"	1.30962789356124	0.0456487845589228
"Strychnine"	"0.89"	0.940669331992864	0.0625205681211079
"Succinic acid"	"0.97"	0.835222603348407	0.43672501486764
"Sucrose"	"1.00"	-0.159466881836698	0.377390564896532
"Sulfadiazine"	"0.78"	-0.3023420582635	0.101142568903074
"Sulfamethazine"	"0.98"	0.764301547391376	0.258014668514785
"Sulfanilic acid"	"0.83"	0.870465608238571	0.0660206215622272
"Sulfasalazine"	"1"	0.499320121158424	0.230003218566171
"Syringaldehyde"	"0.85"	0.575763316960184	0.399015554475271
"Temazepam"	"0.99"	-0.522232292517818	0.363723718599588
"Terfenadine"	"0.9"	-1.07631598409286	0.429623841236814
"Testosterone_Propionate"	"0.95"	1.03558505104781	0.120593992283144
"Thiacloprid"	"0.97"	0.0966725136987553	0.897333346416876
"Thiamine"	"0.96"	0.103366723104624	0.831634271476867
"Trimethoprim"	"0.62"	0.192519732373901	0.544724341716501
"Trimipramine"	"0.88"	0.55486668082961	0.00403978045559854
"Triphenylphosphine oxid"	"0.99"	-0.462248561403593	0.188374203743
"Tristealin"	"0.95"	0.820606106424491	0.30434488421315
"Tritosulfuron"	"0.83"	-0.358425576408252	0.223911323081339
"TxB2"	"0.99"	-0.0850548654715435	0.372839285744348
"Uracil"	"0.97"	-0.780553111104063	0.332361158137189
"Velutin"	"0.89"	0.735447076355607	0.213341092765544
"Venlafaxine"	"0.99"	0.158656323364273	0.741010712046875
"Verapamil"	"0.97"	-0.395667647942125	0.101860347832403
"Xanthohumol"	"0.99"	-0.182180799176173	0.784566576848712
"Xanthotoxin"	"0.68"	1.08506582144511	0.180922532490272
"all-trans-Retinoic acid"	"0.97"	0.501926817823524	0.532125130400665
"alpha-Methyl-DL-histidine"	"0.99"	-0.183854322274286	0.728913156652299
"beta-Carotene-5,6-epoxide"	"1"	0.8290257292149	0.11051531832106
"cis-Nerolidol"	"0.84"	0.0596131704341324	0.82437145468831
"delta-Decalactone"	"0.9"	2.82397271517915	0.03343349673677
"gamma-Tocotrienol"	"0.81"	-0.535456885196488	0.503591560116073
"o-Phenanthroline"	"0.99"	0.787280432775851	0.137372823145152
"sn-Glycerol 3-phosphate"	"0.92"	-0.583086331264257	0.204107847461448
