"Query"	"KEGG"	"m/z similarity"	"l2fc"
"[6]-Gingerol"	"C10462"	"0.99"	-1.21132966696205
"1-(3-Chlorophenyl)piperazine"	"C11738"	"0.83"	-1.183545997691
"13-HPODE"	"C04717"	"0.98"	1.40271864159871
"3-Phospho-D-glycerate"	"C00597"	"0.97"	-0.630275892601683
"3',5'-Cyclic AMP"	"C00575"	"1"	0.660713076225444
"5-Fluorouracil"	"C07649"	"1"	-0.688374235091438
"Adenosine"	"C00212"	"0.89"	13.6937266209233
"all-trans-Retinoic acid"	"C00777"	"0.89"	-1.31709062393357
"Aminopyrine"	"C07539"	"0.67"	0.812973707861987
"Apigenin"	"C01477"	"1"	-1.54005049065474
"Apramycin"	"C01555"	"0.8"	-0.653344354766641
"Asparagine"	"C00152"	"0.98"	0.773194908346317
"Aspartic acid"	"C00049"	"1"	-0.742834220610264
"Azithromycin"	"C06838"	"0.9"	-1.02806884461321
"Baicalin"	"C10025"	"1"	1.9605063189854
"Benzimidazole"	"C02009"	"1"	-1.13303515478782
"Biotin"	"C00120"	"0.68"	-1.11859860956375
"Caffeic acid"	"C01481"	"1.00"	0.427082561093047
"Carbendazim"	"C10897"	"0.78"	3.9309814977076
"Chlorogenic Acid"	"C00852"	"0.99"	0.86074149519128
"Cholesterol"	"C00187"	"0.99"	-0.143943458598314
"Cilastatin"	"C01675"	"0.91"	-2.0578656838119
"Cystine"	"C01420"	"0.95"	-1.08191805153726
"Dexamethasone"	"C15643"	"0.99"	0.428274443873574
"Diazinon"	"C14324"	"0.83"	4.34531002089367
"Enalaprilat"	"C11720"	"1"	-0.546092805919778
"Fucoxanthin"	"C08596"	"0.83"	3.87518468857452
"Glutamic acid"	"C00025"	"0.97"	1.73762486276577
"Glycocyamine"	"C00581"	"1.00"	1.31805851155288
"Harmine"	"C06538"	"0.88"	-0.274437755209024
"Hesperidin"	"C09755"	"1"	3.3963641901942
"Hydrocortisone"	"C00735"	"0.98"	-0.743112411063144
"Imazalil"	"C18739"	"0.61"	0.910320544581128
"Kaempferide"	"C10098"	"0.99"	-1.42036397787101
"L-Anserine"	"C01262"	"0.81"	-0.586577051510514
"Lactose"	"C00243"	"0.72"	2.57629679110775
"Leu-Leu-Tyr"	"C11331"	"0.99"	-1.1418133025904
"Levamisole"	"C07070"	"0.97"	1.95579989120666
"Lincomycin"	"C06812"	"0.94"	1.83878045719958
"Methotrexate"	"C01937"	"0.94"	2.46397033676255
"Methoxyfenozide"	"C18525"	"0.95"	-1.32155998542719
"N,N-Dimethylaniline"	"C02846"	"1"	-0.87623985642744
"Naringin"	"C09789"	"0.71"	1.57804919791383
"Oseltamivir"	"C08092"	"0.92"	-0.925266753027943
"Phenmedipham"	"C18420"	"0.95"	0.321338267994869
"Phenylalanine"	"C00079"	"0.86"	-1.06186651555949
"Pirimicarb"	"C11079"	"0.76"	-1.22776931435983
"Praziquantel"	"C07367"	"0.82"	-1.05721306428206
"Prednisone"	"C07370"	"0.8"	-0.886689655052008
"Rotenone"	"C07593"	"1"	1.61223566676673
"Scopoletin"	"C01752"	"1"	1.79132129230998
"Spectinomycin"	"C02078"	"0.77"	2.47238451420455
"Taurocholate"	"C05122"	"0.94"	2.62525889388846
"Temazepam"	"C07125"	"0.99"	-1.55259023333937
"Uridine"	"C00299"	"0.98"	1.24088081382172
"Xanthohumol"	"C16417"	"0.72"	2.19171236375374
