"Query"	"KEGG"	"m/z similarity"	"l2fc"
"Aminopyrine"	"C07539"	"0.67"	0.948547193158201
"Apigenin"	"C01477"	"1"	0.488457296228491
"Asparagine"	"C00152"	"0.98"	1.174483569802
"Atraton"	"C19098"	"0.79"	-1.35518945791644
"Benzimidazole"	"C02009"	"1"	0.997876734099196
"Biotin"	"C00120"	"1"	0.455056967502658
"Caffeic acid"	"C01481"	"0.87"	-0.893640877260413
"Caffeine"	"C07481"	"0.74"	0.257886327755131
"Citalopram"	"C07572"	"0.93"	-0.695097055649391
"Clotrimazole"	"C06922"	"0.69"	0.675580049465843
"Di(ethylhexyl) phthalate"	"C03690"	"1"	-1.02079555556794
"Diazinon"	"C14324"	"0.99"	1.25029430011526
"Dinoseb"	"C14302"	"0.84"	0.595997399952114
"Emetine"	"C09421"	"0.93"	0.857098199107356
"Eprosartan"	"C07467"	"0.98"	0.275963061558703
"Fipronil"	"C11099"	"0.93"	0.801123550065245
"Forskolin"	"C09076"	"0.77"	-0.420944730025554
"Gingerol"	"C10462"	"1"	0.488533593926931
"Glutamic acid"	"C00025"	"0.97"	0.865112423960406
"Harmaline"	"C06536"	"0.99"	-0.615948155728654
"Harmine"	"C06538"	"0.88"	0.268543761513727
"Hydrocortisone"	"C00735"	"0.98"	0.386475844862151
"Imazalil"	"C18739"	"0.82"	-1.19606302967487
"Irbesartan"	"C07469"	"1"	1.51396484125123
"Kaempferide"	"C10098"	"0.97"	-1.07799226885884
"L-Anserine"	"C01262"	"0.81"	-0.526341816009687
"L-Carnosine"	"C00386"	"0.85"	0.427712423874023
"Lactose"	"C00243"	"0.91"	-0.668896694514695
"Lincomycin"	"C06812"	"0.94"	-0.863435739052815
"MCPA"	"C18528"	"1.00"	-0.913958586984517
"Methoxyfenozide"	"C18525"	"0.95"	1.27839399508405
"N,N-Dimethylaniline"	"C02846"	"1"	0.344601011053077
"Orotic acid"	"C00295"	"0.76"	0.400947707289037
"Phosphoenolpyruvic acid"	"C00074"	"0.93"	-0.0804646705250679
"Ribitol"	"C00474"	"0.99"	0.111650058186321
"Spectinomycin"	"C02078"	"0.94"	0.792598569858039
"Streptomycin"	"C00413"	"0.87"	1.30962789356124
"Sulfanilic acid"	"C06335"	"0.83"	0.870465608238571
"Taurocholate"	"C05122"	"0.79"	1.48591470022842
"Temazepam"	"C07125"	"0.99"	-0.577515671265057
"Tyramine"	"C00483"	"1"	-0.705819374836778
"Umbelliferone"	"C09315"	"0.97"	1.14534038930533
"Uridine"	"C00299"	"0.99"	-1.12543543762465
"Urocanic acid"	"C00785"	"0.98"	1.06317260806814
"Valine"	"C00183"	"1"	-0.757887998695079
"Vitamin K1"	"C05850"	"0.99"	-0.450323240475781
